"GKA","AYGA","Papua New Guinea","Goroka","Goroka Airport",-6.081689834590001,145.391998291
"MAG","AYMD","Papua New Guinea","Madang","Madang Airport",-5.20707988739,145.789001465
"HGU","AYMH","Papua New Guinea","Mount Hagen","Mount Hagen Kagamuga Airport",-5.826789855957031,144.29600524902344
"LAE","AYNZ","Papua New Guinea","Nadzab","Nadzab Airport",-6.569803,146.725977
"POM","AYPY","Papua New Guinea","Port Moresby","Port Moresby Jacksons International Airport",-9.443380355834961,147.22000122070312
"WWK","AYWK","Papua New Guinea","Wewak","Wewak International Airport",-3.58383011818,143.669006348
"UAK","BGBW","Greenland","Narssarssuaq","Narsarsuaq Airport",61.1604995728,-45.4259986877
"GOH","BGGH","Greenland","Godthaab","Godthaab / Nuuk Airport",64.19090271,-51.6781005859
"SFJ","BGSF","Greenland","Sondrestrom","Kangerlussuaq Airport",67.0122218992,-50.7116031647
"THU","BGTL","Greenland","Thule","Thule Air Base",76.5311965942,-68.7032012939
"AEY","BIAR","Iceland","Akureyri","Akureyri Airport",65.66000366210938,-18.07270050048828
"EGS","BIEG","Iceland","Egilsstadir","Egilsstaðir Airport",65.2833023071289,-14.401399612426758
"HFN","BIHN","Iceland","Hofn","Hornafjörður Airport",64.295601,-15.2272
"HZK","BIHU","Iceland","Husavik","Húsavík Airport",65.952301,-17.426001
"IFJ","BIIS","Iceland","Isafjordur","Ísafjörður Airport",66.05809783935547,-23.135299682617188
"KEF","BIKF","Iceland","Keflavik","Keflavik International Airport",63.985000610352,-22.605600357056
"PFJ","BIPA","Iceland","Patreksfjordur","Patreksfjörður Airport",65.555801,-23.965
"RKV","BIRK","Iceland","Reykjavik","Reykjavik Airport",64.1299972534,-21.9405994415
"SIJ","BISI","Iceland","Siglufjordur","Siglufjörður Airport",66.133301,-18.9167
"VEY","BIVM","Iceland","Vestmannaeyjar","Vestmannaeyjar Airport",63.42430114746094,-20.278900146484375
"YAM","CYAM","Canada","Sault Sainte Marie","Sault Ste Marie Airport",46.48500061035156,-84.5093994140625
\N,"CYAV","Canada","Winnipeg","Winnipeg / St. Andrews Airport",50.0564002991,-97.03250122070001
\N,"CYAW","Canada","Halifax","Halifax / CFB Shearwater Heliport",44.639702,-63.499401
"YAY","CYAY","Canada","St. Anthony","St. Anthony Airport",51.3918991089,-56.083099365200006
"YAZ","CYAZ","Canada","Tofino","Tofino / Long Beach Airport",49.079833,-125.775583
"YBB","CYBB","Canada","Pelly Bay","Kugaaruk Airport",68.534401,-89.808098
"YBC","CYBC","Canada","Baie Comeau","Baie Comeau Airport",49.13249969482422,-68.20439910888672
"YBG","CYBG","Canada","Bagotville","CFB Bagotville",48.33060073852539,-70.99639892578125
"YBK","CYBK","Canada","Baker Lake","Baker Lake Airport",64.29889678960001,-96.077796936
"YBL","CYBL","Canada","Campbell River","Campbell River Airport",49.950801849365234,-125.27100372314453
"YBR","CYBR","Canada","Brandon","Brandon Municipal Airport",49.91,-99.951897
"YCB","CYCB","Canada","Cambridge Bay","Cambridge Bay Airport",69.1081008911,-105.138000488
"YCD","CYCD","Canada","Nanaimo","Nanaimo Airport",49.054970224899996,-123.869862556
"YCG","CYCG","Canada","Castlegar","Castlegar/West Kootenay Regional Airport",49.2963981628,-117.632003784
"YCH","CYCH","Canada","Chatham","Miramichi Airport",47.007801,-65.449203
"YCL","CYCL","Canada","Charlo","Charlo Airport",47.990799,-66.330299
"YCO","CYCO","Canada","Coppermine","Kugluktuk Airport",67.816704,-115.143997
"YCT","CYCT","Canada","Coronation","Coronation Airport",52.0750007629,-111.444999695
"YCW","CYCW","Canada","Chilliwack","Chilliwack Airport",49.1528015137,-121.939002991
"YCY","CYCY","Canada","Clyde River","Clyde River Airport",70.4860992432,-68.5167007446
